chunk_id,max_alignment_size
11372_sent_16_18,29
10857_sent_17_19,48
11968_sent_47_49,16
11593_sent_540_542,23
11755_sent_66_68,81
11820_sent_638_640,34
10404_sent_41_43,39
10065_sent_43_45,42
6187_sent_260_262,61
11337_sent_58_60,30
11148_sent_111_113,13
11826_sent_60_62,24
12408_sent_11_13,40
12080_sent_296,55
2435_sent_245_247,52
6187_sent_404_406,40
11148_sent_155_157,38
11591_sent_142_144,63
10041_sent_22_24,13
10484_sent_18,20
2435_sent_119_121,40
11591_sent_61_63,39
11820_sent_729,54
11820_sent_637_639,64
10041_sent_274_276,54
12046_sent_9,56
13088_sent_76_78,16
11148_sent_153_155,34
11148_sent_70_72,54
11689_sent_130_132,20
12448_sent_1_3,26
12080_sent_318_320,69
2801_sent_3,28
12874_sent_5_7,75
12080_sent_94,47
10501_sent_13_15,32
12080_sent_291,54
10041_sent_116_118,10
6187_sent_37_39,41
11326_sent_6_8,43
10053_sent_156_158,7
10041_sent_243_245,52
13088_sent_89_91,13
12408_sent_16_18,29
11689_sent_240_242,47
11755_sent_32_34,31
10067_sent_23_25,34
11150_sent_30_32,28
12265_sent_48,40
12874_sent_213_215,45
12080_sent_181_183,28
10067_sent_24,34
11148_sent_446_448,46
10041_sent_104,15
12046_sent_5_7,50
11148_sent_313,39
11820_sent_756_758,39
11755_sent_135_137,32
12697_sent_23_25,27
6187_sent_205,59
6187_sent_205_207,79
11689_sent_178_180,31
11755_sent_46_48,21
12080_sent_35_37,45
13088_sent_131,13
11820_sent_213_215,18
11968_sent_4_6,39
13088_sent_114_116,73
11326_sent_33,109
10286_sent_23_25,8
11591_sent_164,50
11150_sent_72_74,47
12080_sent_326,60
11148_sent_218_220,54
11820_sent_472_474,40
10041_sent_128_130,28
11820_sent_713,39
10518_sent_142,52
10041_sent_274,54
12448_sent_15_17,6
10478_sent_2,46
11689_sent_30,64
11755_sent_64,54
11820_sent_76_78,10
11976_sent_0_2,13
11591_sent_364_366,31
10067_sent_9_11,41
11150_sent_30,28
10015_sent_5_7,39
3405_sent_83_85,61
11818_sent_20_22,10
6187_sent_199_201,45
11591_sent_81,21
9780_sent_46_48,71
10015_sent_246,25
10067_sent_69,35
10768_sent_29_31,41
10511_sent_36_38,52
6187_sent_141_143,60
11148_sent_447_449,46
11689_sent_166_168,27
11755_sent_28_30,33
10067_sent_68_70,37
10065_sent_27_29,23
11591_sent_96_98,66
11755_sent_58_60,62
11337_sent_80_82,22
3405_sent_47_49,20
11326_sent_42,11
10041_sent_277,22
10454_sent_63,29
6187_sent_96_98,85
9183_sent_18,57
4178_sent_65_67,27
10067_sent_14,29
10454_sent_7_9,57
12080_sent_299_301,36
11990_sent_6,52
11148_sent_205,48
11591_sent_135_137,57
11755_sent_170_172,46
12080_sent_430_432,16
12874_sent_184_186,27
11820_sent_208,45
11246_sent_3,13
10768_sent_9,69
11689_sent_241_243,50
12265_sent_47_49,54
11820_sent_809,54
10506_sent_44,28
11150_sent_22_24,40
11372_sent_32_34,14
10768_sent_24_26,48
12080_sent_325_327,79
12874_sent_278_280,42
10857_sent_4_6,39
11148_sent_64_66,31
11820_sent_70_72,27
12080_sent_247,26
12080_sent_224_226,34
10478_sent_2_4,46
6187_sent_302_304,39
6187_sent_12_14,54
12080_sent_492_494,41
11337_sent_60_62,30
10511_sent_34_36,34
12080_sent_315_317,110
12080_sent_409_411,49
10067_sent_72_74,11
11591_sent_250_252,37
11593_sent_71_73,52
12874_sent_28_30,37
6187_sent_47_49,38
11820_sent_854,26
11326_sent_70,20
6187_sent_321_323,16
11826_sent_136_138,32
12408_sent_67_69,43
10454_sent_59_61,47
11990_sent_14_16,53
10454_sent_81_83,36
11591_sent_206_208,19
2801_sent_52_54,64
11326_sent_20_22,50
2801_sent_19_21,52
11689_sent_305_307,60
3904_sent_68_70,50
11148_sent_398_400,33
11968_sent_15,36
11754_sent_28,34
11820_sent_473,40
10041_sent_129,8
12874_sent_305_307,25
12080_sent_177_179,35
11689_sent_101,60
11968_sent_37_39,46
11591_sent_80_82,21
11148_sent_38,23
11755_sent_13_15,44
10501_sent_33_35,73
13088_sent_209,23
11148_sent_342_344,54
11148_sent_228,35
9183_sent_34_36,68
11337_sent_34_36,9
2801_sent_10,86
11593_sent_129_131,45
9780_sent_10_12,38
12334_sent_25_27,12
2801_sent_202_204,32
10518_sent_130_132,47
2435_sent_147_149,33
10511_sent_42_44,21
6187_sent_168_170,26
10067_sent_183_185,16
10041_sent_77,38
10478_sent_11_13,56
12080_sent_126_128,50
11212_sent_9_11,30
11689_sent_142_144,36
11755_sent_57_59,62
11820_sent_14,38
12080_sent_199_201,53
11826_sent_71_73,36
10857_sent_19,28
11820_sent_73,22
11623_sent_27_29,56
12080_sent_243_245,15
11591_sent_261,14
6187_sent_38_40,34
4178_sent_0,46
2801_sent_215_217,34
11820_sent_353_355,86
11820_sent_354_356,86
11593_sent_501,36
6187_sent_71_73,43
11689_sent_66_68,46
