chunk_id,max_alignment_size
11820_sent_191_193,112
11326_sent_6_8,49
12265_sent_48,40
11326_sent_33,109
10041_sent_128_130,10
6187_sent_96_98,85
11755_sent_58_60,29
12080_sent_165,40
11689_sent_166_168,27
12265_sent_47_49,42
12080_sent_31,81
10484_sent_14_16,127
11820_sent_183,80
11820_sent_809,54
12080_sent_224_226,49
12080_sent_315_317,110
11689_sent_112,111
11826_sent_25_27,113
11689_sent_18_20,42
12080_sent_199_201,60
11755_sent_57_59,29
11689_sent_66_68,62
11820_sent_353_355,86
11820_sent_354_356,86
11593_sent_501,36
10041_sent_119,93
11591_sent_59_61,77
11820_sent_152_154,84
11591_sent_152,86
11826_sent_44,50
6187_sent_207_209,69
9780_sent_19_21,46
11591_sent_60_62,66
10518_sent_119_121,32
10454_sent_67_69,54
2801_sent_10_12,91
11820_sent_512_514,75
12080_sent_50_52,47
11820_sent_787_789,96
11150_sent_10_12,92
12080_sent_164_166,100
11150_sent_29,123
11820_sent_509,53
10041_sent_82,64
11820_sent_163_165,56
11150_sent_53,47
11591_sent_282_284,49
11689_sent_187_189,45
2435_sent_324_326,71
11593_sent_465_467,70
10454_sent_67,47
13088_sent_222,94
11820_sent_495_497,133
2435_sent_162_164,33
2801_sent_11_13,91
11820_sent_21_23,64
11593_sent_163_165,102
11820_sent_161_163,56
11593_sent_95_97,90
11820_sent_816_818,61
11820_sent_507_509,74
11689_sent_16_18,61
12080_sent_163_165,100
11689_sent_27,38
12080_sent_505,61
11326_sent_7_9,49
11591_sent_58_60,77
11689_sent_63_65,60
11591_sent_205,48
11326_sent_23_25,45
11755_sent_136_138,49
11820_sent_662_664,48
11820_sent_489_491,86
11820_sent_726,27
12080_sent_366_368,105
11593_sent_406,80
11820_sent_414_416,66
11820_sent_415_417,66
10518_sent_21_23,46
11689_sent_204_206,77
11968_sent_13_15,57
10015_sent_84,80
11689_sent_205_207,77
11820_sent_661_663,48
11820_sent_847_849,76
11593_sent_356,84
11591_sent_150_152,111
13088_sent_35,84
12697_sent_27_29,92
10454_sent_65_67,47
10067_sent_179_181,66
11689_sent_26_28,72
11820_sent_603_605,66
11591_sent_283_285,39
11820_sent_511_513,75
11820_sent_162_164,56
10454_sent_17_19,27
11820_sent_800,153
11593_sent_501_503,36
3405_sent_99_101,101
11593_sent_463,67
11820_sent_183_185,80
11148_sent_305_307,39
11820_sent_787,96
6284_sent_35_37,26
10041_sent_118_120,112
6187_sent_144_146,48
11593_sent_376_378,67
