chunk_id,max_alignment_size
11148_sent_179_181,21
11148_sent_375_377,35
11593_sent_405_407,53
3904_sent_112_114,42
11820_sent_85_87,82
10501_sent_54,18
11820_sent_845_847,80
12080_sent_368_370,107
2801_sent_121_123,41
11820_sent_798_800,150
12697_sent_28,92
11820_sent_131_133,30
2801_sent_168_170,11
12080_sent_200_202,88
10053_sent_40_42,30
11820_sent_728_730,94
6187_sent_167_169,80
11148_sent_140_142,59
12874_sent_211_213,18
11337_sent_90_92,83
3904_sent_36_38,9
11820_sent_3_5,48
11372_sent_33_35,75
11593_sent_544_546,45
6187_sent_94_96,93
3425_sent_25_27,73
2435_sent_320,19
11689_sent_205,77
6187_sent_68,14
11689_sent_0_2,71
10067_sent_152,81
11820_sent_785_787,94
10518_sent_118_120,40
12080_sent_507_509,71
11326_sent_23,100
11148_sent_487,11
11968_sent_14_16,65
10454_sent_12_14,34
12448_sent_47_49,20
2435_sent_129,57
11591_sent_64_66,51
12080_sent_188_190,100
10857_sent_20_22,81
2801_sent_169_171,16
10067_sent_142_144,29
10067_sent_178_180,60
12448_sent_134_136,35
10454_sent_25_27,32
13088_sent_70_72,91
11593_sent_300_302,34
11990_sent_10_12,26
11826_sent_26,12
10053_sent_322_324,26
6187_sent_151_153,13
11820_sent_566_568,53
11593_sent_203,41
11148_sent_373_375,35
6187_sent_1_3,28
10404_sent_28_30,83
12265_sent_46_48,50
6187_sent_209,69
11326_sent_3,50
11820_sent_772_774,55
11755_sent_59,36
11689_sent_200_202,36
10053_sent_290_292,40
2435_sent_161,7
10067_sent_20_22,65
10053_sent_324_326,26
11689_sent_31_33,10
10067_sent_2_4,59
11820_sent_108,47
11591_sent_4,62
11818_sent_46,9
11591_sent_205_207,77
11820_sent_632_634,44
11820_sent_351_353,56
12408_sent_4_6,38
6187_sent_19_21,8
12080_sent_88_90,36
11826_sent_99_101,15
3405_sent_28_30,49
6187_sent_139_141,13
11148_sent_475_477,49
12080_sent_439,72
6187_sent_167,80
6187_sent_229_231,41
12080_sent_263_265,137
11150_sent_27_29,50
11326_sent_2_4,50
10015_sent_183_185,50
2435_sent_137_139,21
11689_sent_223,50
