chunk_id,max_alignment_size
11755_sent_58_60,36
12080_sent_315_317,71
11755_sent_57_59,36
9183_sent_6_8,40
11820_sent_152_154,48
6187_sent_207_209,69
2801_sent_15_17,25
12080_sent_164_166,100
11689_sent_16_18,61
12080_sent_163_165,100
12080_sent_366_368,107
12697_sent_27_29,92
11689_sent_76_78,124
12080_sent_229,58
12080_sent_436_438,52
12697_sent_28_30,92
12080_sent_434_436,39
13088_sent_22,57
9183_sent_8,35
11820_sent_154,48
11820_sent_848_850,106
10015_sent_44_46,67
9183_sent_7_9,40
11755_sent_59_61,36
11820_sent_845_847,80
12080_sent_368_370,107
12697_sent_28,92
12080_sent_507_509,71
11591_sent_64_66,51
12080_sent_188_190,100
6187_sent_209,69
11755_sent_59,36
12080_sent_439,72
12080_sent_263_265,137
11689_sent_14_16,61
12080_sent_435_437,52
11591_sent_64,51
12080_sent_316_318,71
12080_sent_507,71
11820_sent_846_848,76
11820_sent_154_156,48
12697_sent_26_28,92
10015_sent_46,67
12080_sent_317,71
12080_sent_368,107
10015_sent_46_48,67
11689_sent_77,124
11591_sent_62_64,51
11689_sent_75_77,124
12080_sent_265,137
13088_sent_21_23,57
13088_sent_22_24,57
12080_sent_227_229,70
11820_sent_849,106
12080_sent_264_266,137
11820_sent_849_851,106
11689_sent_15_17,61
12080_sent_189_191,100
6187_sent_208_210,69
6187_sent_209_211,69
11820_sent_847,80
12080_sent_265_267,137
12080_sent_437_439,72
10015_sent_45_47,67
13088_sent_20_22,57
11820_sent_153_155,48
11689_sent_16,61
9183_sent_8_10,35
12080_sent_439_441,72
12080_sent_506_508,52
11689_sent_77_79,124
12080_sent_438_440,72
12080_sent_505_507,71
12080_sent_367_369,107
12080_sent_436,39
11591_sent_63_65,51
12080_sent_317_319,71
12080_sent_226_228,64
