k,Overall_Recall,Overall_MRR,Explicit_Recall,Explicit_MRR,Explicit_N,Implicit_Recall,Implicit_MRR,Implicit_N
20,0.4,0.26890977443609027,0.72,0.5202669172932332,50,0.08,0.01755263157894737,50
50,0.44,0.27014588554720137,0.78,0.5221141395154553,50,0.1,0.01817763157894737,50
100,0.47,0.27055255302408676,0.8,0.5223182211481083,50,0.14,0.018786884900065096,50
200,0.52,0.27092567135037887,0.86,0.5227287364915201,50,0.18,0.019122606209237735,50
500,0.57,0.2711000616118022,0.88,0.5227910417874702,50,0.26,0.019409081436134182,50
1000,0.66,0.27122847020115753,0.94,0.5228834816250126,50,0.38,0.019573458777302332,50
