k,Overall_Recall,Overall_MRR,Explicit_Recall,Explicit_MRR,Explicit_N,Implicit_Recall,Implicit_MRR,Implicit_N
5,0.33,0.2615,0.62,0.509,50,0.04,0.013999999999999999,50
10,0.38,0.26785714285714285,0.7,0.5192142857142857,50,0.06,0.0165,50
20,0.4,0.26890977443609027,0.72,0.5202669172932332,50,0.08,0.01755263157894737,50
