k,Overall_Recall,Overall_MRR,Explicit_Recall,Explicit_MRR,Explicit_N,Implicit_Recall,Implicit_MRR,Implicit_N
5,0.36,0.2823333333333333,0.68,0.5513333333333332,50,0.04,0.013333333333333332,50
10,0.37,0.2833333333333334,0.7,0.5533333333333332,50,0.04,0.013333333333333332,50
20,0.44,0.2878551525873507,0.74,0.5566666666666666,50,0.14,0.019043638508034793,50
