k,Overall_Recall,Overall_MRR,Explicit_Recall,Explicit_MRR,Explicit_N,Implicit_Recall,Implicit_MRR,Implicit_N
5,0.31,0.2603333333333333,0.6,0.514,50,0.02,0.006666666666666666,50
10,0.33,0.2634285714285714,0.64,0.5201904761904762,50,0.02,0.006666666666666666,50
20,0.35,0.26500432900432896,0.66,0.522008658008658,50,0.04,0.008,50
