chunk_id,max_alignment_size
11591_sent_234_236,37
11990_sent_11,23
10857_sent_17_19,85
11968_sent_47_49,38
10041_sent_274_276,59
10768_sent_22,20
11593_sent_64_66,64
12080_sent_210_212,81
11337_sent_55_57,38
10286_sent_39_41,44
11820_sent_191_193,131
11755_sent_263,69
12874_sent_87_89,23
12080_sent_179_181,93
12080_sent_181_183,93
11755_sent_32_34,26
10067_sent_24,20
10015_sent_254_256,116
11150_sent_72_74,25
11820_sent_472_474,40
11326_sent_33,71
2801_sent_15,38
11591_sent_164,43
10041_sent_274,59
11337_sent_57,19
11326_sent_67_69,16
12448_sent_47,14
10936_sent_11_13,40
11755_sent_64,41
6187_sent_199_201,31
11689_sent_30,55
11755_sent_58_60,68
12080_sent_165,48
11148_sent_205,24
11337_sent_80_82,30
10404_sent_9,15
6187_sent_96_98,95
11591_sent_96_98,36
12265_sent_47_49,54
11820_sent_208,48
10518_sent_4_6,42
11755_sent_170_172,46
10768_sent_9,54
11826_sent_25_27,37
12080_sent_313_315,72
6187_sent_12_14,67
11689_sent_112,124
12080_sent_315_317,67
11990_sent_11_13,19
10518_sent_122_124,60
11148_sent_398_400,41
3904_sent_68_70,32
11689_sent_18_20,43
11148_sent_342_344,17
6284_sent_24,49
11212_sent_9_11,46
12080_sent_199_201,116
11755_sent_57_59,68
11337_sent_16_18,14
2801_sent_215_217,81
12080_sent_243_245,32
9183_sent_6_8,40
6187_sent_309_311,46
11820_sent_353_355,68
3904_sent_32,51
11593_sent_59_61,69
11591_sent_291_293,42
12080_sent_228,15
11968_sent_49,38
12265_sent_45_47,36
2435_sent_210_212,34
10041_sent_119,84
11968_sent_49_51,48
11591_sent_59_61,77
6187_sent_159_161,28
11591_sent_152,91
11820_sent_152_154,56
10404_sent_46_48,29
12080_sent_147_149,76
6187_sent_207_209,70
10511_sent_9_11,11
11826_sent_44,18
13088_sent_205_207,40
11689_sent_218,44
11820_sent_24_26,12
13088_sent_37_39,23
11820_sent_459_461,21
11148_sent_376_378,7
11591_sent_247_249,12
10015_sent_129,6
11591_sent_60_62,77
10454_sent_67_69,34
10518_sent_119_121,40
10065_sent_18,15
11820_sent_160,34
10511_sent_31_33,62
10067_sent_4_6,30
3904_sent_79_81,12
10041_sent_250_252,44
10015_sent_138_140,9
11820_sent_643_645,22
2801_sent_15_17,29
11820_sent_787_789,184
12080_sent_156,47
10506_sent_54_56,77
12080_sent_164_166,116
11150_sent_29,118
11818_sent_49_51,70
11820_sent_509,54
11689_sent_233_235,26
11212_sent_9,46
11820_sent_163_165,63
12334_sent_4_6,9
11150_sent_53,53
11148_sent_477_479,50
12448_sent_112_114,62
11689_sent_187_189,55
10511_sent_96,23
11337_sent_40,7
5473_sent_52_54,15
6187_sent_6_8,7
10454_sent_67,55
11591_sent_49_51,17
11593_sent_465_467,56
10041_sent_272_274,65
11820_sent_495_497,57
6187_sent_254_256,7
10041_sent_198,17
11826_sent_47,9
2435_sent_267_269,41
2801_sent_122,23
10041_sent_279,60
11820_sent_24,12
6284_sent_27_29,11
5473_sent_54,15
3904_sent_36,32
11826_sent_145_147,41
13088_sent_214,60
11820_sent_161_163,63
11148_sent_478_480,50
11820_sent_507_509,61
6187_sent_236_238,65
11754_sent_17,10
11689_sent_16_18,107
12080_sent_163_165,116
11591_sent_58_60,77
11754_sent_0,45
10857_sent_17,85
11689_sent_63_65,60
11591_sent_205,37
11820_sent_489_491,90
11820_sent_662_664,13
6284_sent_29,11
10041_sent_18_20,51
6187_sent_234_236,65
12080_sent_366_368,104
12080_sent_146_148,76
11593_sent_406,62
10518_sent_51_53,44
11820_sent_414_416,74
11820_sent_415_417,74
2801_sent_164,33
10067_sent_60_62,17
13088_sent_191_193,7
13088_sent_242_244,68
11754_sent_16_18,10
13088_sent_214_216,60
11820_sent_159_161,34
2801_sent_130_132,52
10518_sent_5,42
11689_sent_204_206,78
10518_sent_49_51,44
11826_sent_98_100,13
10067_sent_48_50,31
10454_sent_25,13
6187_sent_14,38
11591_sent_150_152,113
10065_sent_34,38
10506_sent_56_58,8
11820_sent_457_459,21
10857_sent_15_17,85
10015_sent_84,23
11689_sent_205_207,78
11593_sent_356,84
11591_sent_163_165,43
12697_sent_27_29,94
10454_sent_65_67,27
11820_sent_516_518,91
3425_sent_23_25,65
2435_sent_132_134,45
10067_sent_179_181,72
11820_sent_603_605,71
11591_sent_162_164,43
10454_sent_24_26,50
2435_sent_366_368,9
11820_sent_872,79
12080_sent_181,93
11820_sent_162_164,63
12080_sent_236_238,66
11591_sent_233_235,37
11820_sent_335_337,34
6187_sent_52_54,49
11593_sent_60,69
11148_sent_343_345,32
6187_sent_163,6
11326_sent_77_79,7
11150_sent_35_37,102
11820_sent_787,184
11820_sent_409_411,32
13088_sent_192,7
10041_sent_118_120,84
2801_sent_24,23
11820_sent_497_499,57
3904_sent_64,83
13088_sent_192_194,7
11755_sent_75_77,29
10768_sent_25_27,7
12080_sent_118_120,25
11820_sent_543,41
11820_sent_543_545,41
6187_sent_98_100,95
6187_sent_5_7,7
2801_sent_122_124,23
12080_sent_165_167,48
10454_sent_14,38
11148_sent_365,28
11820_sent_22_24,12
10065_sent_23_25,69
11689_sent_187,36
2435_sent_211_213,34
12265_sent_24_26,40
6187_sent_163_165,6
11593_sent_65,64
11689_sent_218_220,44
10454_sent_40,67
12080_sent_245,32
11755_sent_263_265,69
9183_sent_32_34,11
11337_sent_9_11,34
11689_sent_76_78,144
11968_sent_16_18,47
11826_sent_42_44,58
13088_sent_213_215,60
10067_sent_180,72
11212_sent_5_7,34
11754_sent_0_2,8
11820_sent_508_510,97
13088_sent_38_40,18
11689_sent_133_135,129
11820_sent_607_609,77
2801_sent_23_25,23
6187_sent_97_99,95
11820_sent_106_108,44
5473_sent_54_56,15
12080_sent_436_438,54
11337_sent_109,9
10511_sent_11_13,11
13088_sent_204_206,40
10067_sent_146_148,114
6187_sent_197_199,31
11820_sent_364_366,27
2435_sent_159_161,10
11826_sent_43_45,58
2801_sent_197,10
3405_sent_72_74,80
12334_sent_3_5,9
11593_sent_459_461,62
10454_sent_13_15,38
11820_sent_3,25
11150_sent_77_79,44
11818_sent_47_49,70
11820_sent_287_289,66
12697_sent_28_30,94
11820_sent_415,74
11755_sent_71_73,19
10404_sent_7_9,15
11326_sent_75_77,7
11818_sent_48_50,70
9183_sent_32,11
10768_sent_26_28,7
11593_sent_302_304,33
11820_sent_502_504,109
5473_sent_53_55,14
10857_sent_16_18,85
2801_sent_216_218,81
11820_sent_664,13
10015_sent_84_86,42
10768_sent_8_10,54
2435_sent_21,13
11820_sent_47_49,54
11820_sent_607,77
11593_sent_355_357,84
12080_sent_236,66
10518_sent_52_54,27
11150_sent_80,52
10015_sent_256_258,100
11591_sent_50_52,17
12080_sent_434_436,54
12334_sent_5_7,9
11326_sent_32_34,71
12448_sent_141,55
11820_sent_869_871,62
13088_sent_22,66
3904_sent_31_33,51
10015_sent_258,100
11591_sent_263,40
6187_sent_198_200,31
