chunk_id,max_alignment_size
11820_sent_154,64
3405_sent_57_59,87
11150_sent_36_38,53
11593_sent_193,53
11976_sent_10_12,14
10454_sent_39_41,67
12080_sent_359,71
12080_sent_325,86
11826_sent_26_28,117
6187_sent_367,91
10518_sent_23_25,42
12080_sent_156_158,119
11820_sent_317_319,70
11689_sent_51,52
11820_sent_512,93
5473_sent_10_12,83
11820_sent_86_88,126
11593_sent_191_193,53
11820_sent_189,122
12080_sent_31_33,85
2801_sent_14_16,35
11593_sent_466_468,56
10041_sent_287,79
11820_sent_408_410,52
2801_sent_134,54
11593_sent_515_517,41
11150_sent_9_11,97
11820_sent_301_303,21
11820_sent_144_146,88
11820_sent_848_850,129
11593_sent_106_108,57
10015_sent_44_46,71
11689_sent_79_81,94
10015_sent_257_259,123
2801_sent_17,49
11826_sent_44_46,28
10501_sent_17_19,62
3405_sent_35_37,69
11820_sent_396_398,83
5473_sent_48_50,22
12697_sent_19_21,32
6187_sent_210_212,16
11820_sent_493_495,39
13088_sent_222_224,97
10067_sent_90_92,47
3405_sent_34_36,69
6187_sent_218,75
10015_sent_254,74
12080_sent_329_331,82
11148_sent_206_208,58
2801_sent_134_136,54
10015_sent_161_163,101
11990_sent_17,57
9183_sent_7_9,149
2435_sent_329,114
4178_sent_38_40,19
11591_sent_25_27,41
12080_sent_159_161,140
11755_sent_59_61,68
11820_sent_163,76
11820_sent_353,68
12874_sent_0_2,55
11751_sent_4_6,21
11148_sent_306_308,26
10484_sent_13_15,158
11593_sent_405_407,99
6187_sent_218_220,75
11976_sent_11_13,14
12080_sent_323_325,86
12080_sent_406,9
11820_sent_674_676,82
11820_sent_85_87,126
11593_sent_97_99,35
11820_sent_318,57
3405_sent_92_94,73
12080_sent_335_337,114
12448_sent_111_113,31
11820_sent_845_847,97
11689_sent_15,92
12080_sent_368_370,105
11593_sent_529_531,31
11820_sent_798_800,160
12697_sent_28,94
2435_sent_349,8
10501_sent_20_22,77
12080_sent_200_202,70
11150_sent_53_55,53
11593_sent_467_469,56
11591_sent_149_151,20
11591_sent_138,56
10041_sent_76_78,70
11820_sent_394_396,76
5473_sent_12_14,63
10501_sent_19_21,77
12080_sent_189,61
11593_sent_365_367,31
2435_sent_326,128
11148_sent_306,26
6187_sent_65_67,20
11820_sent_486_488,113
6187_sent_94_96,96
10041_sent_117_119,84
11689_sent_205,78
3405_sent_69_71,94
11820_sent_433,108
11820_sent_785_787,192
2801_sent_177_179,97
10518_sent_118_120,41
11820_sent_48_50,77
12080_sent_71_73,140
11820_sent_395,72
12080_sent_507_509,149
11593_sent_356_358,93
10518_sent_23,42
11593_sent_193_195,53
11689_sent_17,108
11593_sent_375_377,74
12080_sent_187_189,61
12080_sent_504_506,88
11593_sent_458_460,62
11755_sent_37_39,37
6187_sent_98,74
13088_sent_227,83
6187_sent_322_324,42
2801_sent_178,38
11968_sent_14_16,51
10041_sent_128,39
11689_sent_135,128
11820_sent_378_380,88
13088_sent_221,38
10067_sent_91_93,47
10067_sent_178_180,72
11591_sent_64_66,56
12080_sent_164,62
12080_sent_188_190,116
11820_sent_827_829,36
11593_sent_143_145,48
11820_sent_380_382,88
11820_sent_254_256,14
11820_sent_496_498,96
12080_sent_184_186,88
11820_sent_698_700,60
11820_sent_49,68
10501_sent_19,62
10067_sent_148,114
11826_sent_26,117
2435_sent_318,143
11820_sent_772_774,53
11326_sent_3,65
12265_sent_46_48,48
12805_sent_35,37
6187_sent_209,70
10454_sent_4_6,12
11591_sent_148,88
11591_sent_147_149,88
11820_sent_487_489,113
11689_sent_137_139,127
11593_sent_528_530,31
11755_sent_59,53
9780_sent_15_17,86
6187_sent_210,25
12265_sent_19_21,52
11689_sent_31_33,105
11593_sent_516_518,41
6284_sent_15_17,69
11820_sent_182_184,82
11148_sent_207,58
11591_sent_205_207,81
2801_sent_179,97
6187_sent_85_87,82
11593_sent_462_464,74
11820_sent_632_634,112
11820_sent_351_353,72
12080_sent_72,140
11689_sent_50_52,54
11820_sent_694,79
12080_sent_439,68
11820_sent_604_606,85
12080_sent_34_36,53
6187_sent_229_231,49
12080_sent_263_265,175
11593_sent_108_110,116
11326_sent_2_4,65
2435_sent_341,29
3405_sent_100,61
11150_sent_27_29,136
11820_sent_123_125,59
11990_sent_16_18,71
12080_sent_435_437,54
10015_sent_172,114
12080_sent_312,44
11689_sent_14_16,92
12080_sent_218_220,73
11591_sent_284_286,34
6187_sent_367_369,91
11820_sent_541_543,66
2801_sent_39,34
11820_sent_182,36
11591_sent_25,41
11689_sent_29_31,138
11820_sent_580,142
11820_sent_145_147,88
10067_sent_87_89,38
13088_sent_158,63
13088_sent_115_117,81
11820_sent_143_145,88
10454_sent_38_40,67
11820_sent_158_160,30
2435_sent_325_327,128
11820_sent_489,90
11820_sent_188_190,122
11689_sent_17_19,108
11591_sent_64,56
12080_sent_51_53,54
3405_sent_71,94
13088_sent_227_229,83
11591_sent_24_26,76
11591_sent_196_198,36
11689_sent_149,137
12080_sent_211_213,81
11591_sent_243_245,53
12080_sent_161,109
11337_sent_108_110,33
11820_sent_324_326,88
11820_sent_602_604,71
11820_sent_107_109,15
12080_sent_157_159,119
11689_sent_64_66,61
13088_sent_226_228,83
11593_sent_117_119,72
11689_sent_149_151,137
11820_sent_429_431,126
6187_sent_216_218,75
12080_sent_222_224,150
11593_sent_141_143,67
10454_sent_66_68,68
11820_sent_780_782,103
11148_sent_207_209,58
10041_sent_80_82,65
11820_sent_503_505,136
10067_sent_61_63,27
11820_sent_557_559,105
11326_sent_3_5,65
10518_sent_58_60,50
11593_sent_374_376,74
12080_sent_316_318,125
2435_sent_347_349,8
12805_sent_28_30,57
11820_sent_180_182,36
11593_sent_105_107,57
11820_sent_774_776,53
11689_sent_78_80,97
11591_sent_146,93
11593_sent_529,31
11593_sent_467,56
10041_sent_285_287,79
11820_sent_831_833,61
6187_sent_433_435,88
11593_sent_389_391,92
11689_sent_62_64,72
12080_sent_507,149
11820_sent_833_835,61
11820_sent_433_435,108
11591_sent_139_141,74
6187_sent_96,96
11820_sent_579_581,142
13088_sent_157_159,63
11820_sent_397_399,83
11820_sent_846_848,93
10015_sent_140_142,11
11820_sent_154_156,64
13088_sent_115,81
12697_sent_26_28,94
11689_sent_51_53,52
10501_sent_18_20,77
3405_sent_73_75,111
12080_sent_360_362,85
11820_sent_501_503,136
10067_sent_89,38
10067_sent_62_64,27
11593_sent_516,41
11820_sent_323_325,88
12805_sent_27_29,57
10015_sent_46,71
12080_sent_72_74,140
11591_sent_310_312,71
12080_sent_162_164,121
11820_sent_832_834,61
11689_sent_164_166,61
12080_sent_180_182,93
3405_sent_84_86,72
10015_sent_83_85,87
10067_sent_145_147,101
10501_sent_20,77
5473_sent_13_15,109
11150_sent_28_30,170
11820_sent_488_490,109
11820_sent_676_678,63
11820_sent_319,70
11593_sent_461_463,74
13088_sent_114,22
11593_sent_156_158,83
11820_sent_509_511,90
12080_sent_317,125
11820_sent_145,88
11751_sent_5_7,21
9183_sent_9_11,149
