chunk_id,max_alignment_size
2801_sent_15,38
11755_sent_58_60,53
12265_sent_47_49,36
12080_sent_315_317,67
11689_sent_18_20,43
11755_sent_57_59,53
12080_sent_199_201,116
9183_sent_6_8,40
12265_sent_45_47,36
11591_sent_152,91
11820_sent_152_154,35
6187_sent_207_209,70
10454_sent_67_69,34
10518_sent_119_121,40
2801_sent_15_17,38
11820_sent_509,54
11820_sent_787_789,184
12080_sent_164_166,116
11150_sent_53,53
11820_sent_163_165,63
11689_sent_187_189,36
10454_sent_67,34
11820_sent_507_509,61
11820_sent_161_163,63
6187_sent_236_238,65
12080_sent_163_165,116
11689_sent_16_18,72
11820_sent_489_491,90
6187_sent_234_236,65
11593_sent_406,68
12080_sent_366_368,104
11820_sent_414_416,74
11820_sent_415_417,74
11689_sent_204_206,68
11591_sent_150_152,113
11593_sent_356,84
11689_sent_205_207,68
12697_sent_27_29,94
11820_sent_162_164,63
11820_sent_787,184
11689_sent_187,55
11689_sent_76_78,144
11820_sent_508_510,97
12080_sent_436_438,54
10067_sent_146_148,114
3405_sent_72_74,80
12697_sent_28_30,94
11820_sent_415,74
11820_sent_502_504,109
11593_sent_355_357,84
10015_sent_256_258,100
12080_sent_434_436,54
10015_sent_258,100
11689_sent_18,43
9183_sent_8,40
11820_sent_154,35
12080_sent_156_158,103
2801_sent_14_16,35
10015_sent_44_46,71
11689_sent_79_81,94
10015_sent_257_259,100
11990_sent_17,57
2435_sent_329,58
9183_sent_7_9,40
11755_sent_59_61,53
11820_sent_163,63
11593_sent_405_407,75
12080_sent_368_370,104
12697_sent_28,94
12080_sent_200_202,116
3405_sent_69_71,85
11689_sent_205,68
11820_sent_486_488,113
11593_sent_356_358,84
11820_sent_785_787,184
10518_sent_118_120,41
11591_sent_64_66,56
12080_sent_188_190,73
10067_sent_148,114
12265_sent_46_48,36
6187_sent_209,70
11820_sent_487_489,113
11755_sent_59,53
12080_sent_263_265,156
11990_sent_16_18,71
11689_sent_14_16,72
12080_sent_435_437,54
11820_sent_489,90
11591_sent_64,56
3405_sent_71,85
11689_sent_17_19,43
11689_sent_149,25
12080_sent_157_159,103
11689_sent_149_151,25
12080_sent_316_318,67
11820_sent_503_505,109
11689_sent_78_80,97
11591_sent_139_141,74
11820_sent_154_156,56
12697_sent_26_28,94
3405_sent_73_75,80
10015_sent_46,71
11820_sent_501_503,109
12080_sent_162_164,112
11150_sent_28_30,118
11820_sent_488_490,109
11820_sent_509_511,90
12080_sent_317,67
2801_sent_13_15,35
12080_sent_201_203,116
12080_sent_368,104
11689_sent_79,94
10067_sent_148_150,114
11820_sent_786_788,184
10015_sent_46_48,71
11689_sent_77,144
11820_sent_488,109
11591_sent_62_64,56
11689_sent_75_77,144
12080_sent_265,156
12080_sent_155_157,103
12080_sent_86_88,91
12080_sent_227_229,72
12080_sent_264_266,156
3405_sent_73,51
11150_sent_51_53,53
11689_sent_15_17,72
3405_sent_70_72,85
11990_sent_15_17,57
11591_sent_152_154,91
11689_sent_186_188,55
12080_sent_189_191,73
6187_sent_208_210,70
6187_sent_209_211,70
6187_sent_235_237,65
11591_sent_138_140,74
11591_sent_139,74
2435_sent_329_331,58
12080_sent_157,103
12080_sent_265_267,156
11689_sent_203_205,68
12080_sent_161_163,121
10015_sent_45_47,71
11593_sent_404_406,75
12080_sent_163,91
11591_sent_137_139,74
10067_sent_147_149,114
11820_sent_153_155,35
11689_sent_185_187,36
11689_sent_16,72
9183_sent_8_10,40
11990_sent_17_19,71
11591_sent_151_153,113
11593_sent_406_408,68
10518_sent_117_119,41
11689_sent_77_79,144
12265_sent_47,36
11150_sent_29_31,118
12080_sent_367_369,104
12080_sent_87_89,91
10518_sent_119,40
10065_sent_17_19,25
6187_sent_236,65
12080_sent_201,116
12080_sent_436,54
11820_sent_413_415,74
11820_sent_503,109
2435_sent_327_329,60
11593_sent_354_356,84
2435_sent_328_330,60
10015_sent_258_260,100
11591_sent_63_65,56
12080_sent_317_319,67
12080_sent_226_228,72
