chunk_id,max_alignment_size
12080_sent_248_250,61
11593_sent_540_542,29
11755_sent_66_68,50
11148_sent_111_113,31
5473_sent_13,73
11820_sent_557,56
10857_sent_17_19,10
11171_sent_6_8,46
11623_sent_11_13,41
11372_sent_16_18,37
11826_sent_60_62,28
10015_sent_21_23,13
6187_sent_260_262,24
11820_sent_638_640,31
2801_sent_138_140,87
12080_sent_352,31
6187_sent_404_406,35
12080_sent_296,51
11337_sent_58_60,19
2435_sent_245_247,38
11591_sent_142_144,68
10041_sent_22_24,28
11337_sent_5_7,49
10484_sent_18,27
11591_sent_61_63,49
11820_sent_729,46
12874_sent_5_7,52
10015_sent_56_58,42
3405_sent_105_107,38
11148_sent_70_72,9
11751_sent_11_13,27
11591_sent_278_280,30
10041_sent_274_276,59
13088_sent_109_111,51
11820_sent_191_193,132
10015_sent_151_153,73
10041_sent_24_26,63
10041_sent_176_178,27
10286_sent_39_41,17
11689_sent_130_132,15
11593_sent_23_25,13
3405_sent_116_118,44
11593_sent_64_66,64
11820_sent_637_639,51
12448_sent_1_3,16
10041_sent_349_351,40
6187_sent_86_88,95
11593_sent_365,18
13088_sent_261_263,40
10501_sent_13_15,50
10041_sent_116_118,10
6187_sent_37_39,18
11326_sent_6_8,47
10041_sent_243_245,81
13088_sent_89_91,40
12874_sent_87_89,23
12448_sent_19_21,14
12408_sent_16_18,10
11689_sent_240_242,52
10015_sent_195_197,11
10067_sent_23_25,36
11150_sent_30_32,19
12265_sent_48,20
10478_sent_20_22,62
12874_sent_213_215,8
9183_sent_27_29,30
11246_sent_28_30,12
10454_sent_53_55,64
11246_sent_16_18,8
10015_sent_254_256,109
10041_sent_104,8
11755_sent_46_48,35
11148_sent_313,10
11820_sent_805_807,58
12697_sent_23_25,30
6187_sent_205,21
6187_sent_205_207,65
11968_sent_4_6,43
12080_sent_35_37,43
13088_sent_131,23
10501_sent_27,60
11591_sent_179,41
11820_sent_756_758,43
11148_sent_218_220,55
11755_sent_152_154,26
11755_sent_153_155,26
11148_sent_446_448,41
11326_sent_33,117
2801_sent_15,38
10286_sent_23_25,49
11755_sent_51_53,48
11507_sent_20_22,37
11591_sent_164,50
11150_sent_72_74,10
12080_sent_326,84
6187_sent_56_58,16
10484_sent_1_3,61
12874_sent_279_281,53
10041_sent_274,59
11826_sent_149_151,38
10511_sent_105_107,10
11148_sent_389_391,43
11820_sent_713,30
11689_sent_30,73
12448_sent_15_17,46
2801_sent_7_9,68
10015_sent_201,30
10768_sent_29_31,38
11593_sent_233_235,49
11150_sent_30,19
10015_sent_5_7,41
3405_sent_83_85,72
11755_sent_64,41
6187_sent_199_201,46
10511_sent_36_38,39
11593_sent_75,37
11591_sent_364_366,44
9780_sent_46_48,61
10015_sent_246,48
10067_sent_69,34
10936_sent_11_13,53
11820_sent_576_578,83
11689_sent_166_168,31
10065_sent_27_29,25
11591_sent_96_98,58
11755_sent_58_60,58
6187_sent_141_143,31
6187_sent_96_98,98
10067_sent_127_129,21
10067_sent_68_70,20
3405_sent_47_49,50
13088_sent_14_16,38
11755_sent_28_30,54
10454_sent_7_9,41
12080_sent_165,37
11148_sent_447_449,41
11337_sent_71_73,54
12080_sent_299_301,49
11755_sent_274_276,38
4178_sent_65_67,42
10501_sent_14,50
11148_sent_75_77,27
13088_sent_126_128,56
12080_sent_19_21,23
11751_sent_12,24
12080_sent_430_432,16
12874_sent_278_280,20
11820_sent_208,48
11246_sent_3,20
12874_sent_184_186,39
11689_sent_241_243,52
11150_sent_22_24,14
12265_sent_47_49,52
11372_sent_32_34,32
10857_sent_4_6,35
11591_sent_135_137,30
10501_sent_7_9,13
12080_sent_325_327,86
10041_sent_24,15
10768_sent_9,54
11689_sent_287_289,46
11820_sent_70_72,43
12080_sent_247,21
11591_sent_250_252,39
6187_sent_47_49,45
12080_sent_224_226,71
11820_sent_410,21
6187_sent_12_14,74
6187_sent_302_304,20
12874_sent_194_196,15
11148_sent_64_66,47
12080_sent_315_317,125
12080_sent_409_411,9
12080_sent_313_315,72
10454_sent_55,64
12265_sent_22,19
11212_sent_16_18,17
11593_sent_71_73,57
10511_sent_34_36,27
11337_sent_60_62,16
10478_sent_2_4,15
6187_sent_321_323,41
11826_sent_136_138,44
12408_sent_67_69,52
11148_sent_398_400,44
3904_sent_102_104,37
11689_sent_101,87
10454_sent_81_83,40
11820_sent_712_714,30
2801_sent_19_21,29
6187_sent_202_204,40
10454_sent_59_61,49
3405_sent_120_122,33
11591_sent_206_208,20
2801_sent_52_54,41
10015_sent_142_144,24
12448_sent_5_7,7
11755_sent_38_40,48
3904_sent_68_70,38
11968_sent_15,68
11826_sent_218_220,52
11826_sent_35_37,58
11689_sent_305_307,52
11593_sent_499,9
12080_sent_344_346,68
10041_sent_229_231,27
6187_sent_328_330,33
10041_sent_265_267,18
12080_sent_407_409,47
11820_sent_823_825,54
11593_sent_264,10
11591_sent_192_194,46
11148_sent_295,50
11755_sent_13_15,31
10501_sent_33_35,43
11148_sent_38,18
6284_sent_17,17
10041_sent_177,27
11148_sent_342_344,32
11689_sent_93_95,17
11337_sent_34_36,14
11968_sent_37_39,34
11755_sent_139_141,35
2801_sent_10,120
11593_sent_129_131,43
12334_sent_25_27,41
11591_sent_80_82,39
11593_sent_388_390,59
11148_sent_228,45
2801_sent_202_204,23
10518_sent_130_132,21
2435_sent_147_149,32
3904_sent_43_45,9
9183_sent_34_36,14
11820_sent_792_794,35
10041_sent_77,49
4178_sent_37_39,9
11148_sent_513_515,44
11171_sent_15_17,30
10404_sent_33_35,37
11689_sent_142_144,39
11212_sent_9_11,44
12448_sent_3_5,18
11755_sent_57_59,58
3425_sent_14_16,27
12080_sent_199_201,61
11171_sent_5_7,46
11150_sent_65_67,101
11820_sent_193,60
10067_sent_193,24
11820_sent_73,34
10518_sent_59_61,38
2801_sent_215_217,69
12874_sent_18_20,34
12080_sent_243_245,19
11820_sent_14,45
11820_sent_614_616,29
12080_sent_126_128,28
6187_sent_309_311,66
11623_sent_27_29,39
11820_sent_353_355,96
11820_sent_354_356,96
12265_sent_33_35,32
12080_sent_28,57
11826_sent_71_73,18
11593_sent_501,59
3405_sent_20_22,25
11755_sent_91_93,10
11968_sent_44,23
10768_sent_34,34
11022_sent_11_13,7
11591_sent_291_293,42
10015_sent_9,19
6187_sent_271_273,22
10518_sent_59,38
1888_sent_21,34
11593_sent_59_61,36
11820_sent_12,64
11591_sent_264_266,17
11689_sent_192_194,27
3425_sent_29,43
11976_sent_20,29
2435_sent_302_304,22
12080_sent_102_104,25
6187_sent_21_23,68
12265_sent_45_47,48
11689_sent_156_158,31
11623_sent_19,46
11194_sent_15,12
11591_sent_57_59,47
11148_sent_452_454,24
2435_sent_210_212,35
11150_sent_62_64,17
12080_sent_331_333,35
10768_sent_1,56
12874_sent_109_111,7
10454_sent_60_62,49
11976_sent_12_14,15
10501_sent_34_36,43
6284_sent_3,47
10067_sent_153_155,26
10015_sent_134_136,20
10015_sent_157_159,19
6187_sent_86,95
11593_sent_67_69,22
12080_sent_66,53
12080_sent_472_474,26
12080_sent_395,8
11820_sent_177_179,9
11820_sent_531_533,73
11820_sent_673,19
11591_sent_59_61,81
5473_sent_16,56
10404_sent_46_48,29
11820_sent_152_154,71
6187_sent_35_37,18
11593_sent_12_14,36
11820_sent_860,18
4178_sent_116_118,49
2801_sent_171_173,65
11148_sent_362_364,48
11593_sent_206_208,54
10511_sent_39,22
11326_sent_25_27,38
3405_sent_6_8,33
2801_sent_123_125,58
2801_sent_23,55
10506_sent_44_46,52
12080_sent_473,26
6187_sent_407,39
12046_sent_12_14,36
11591_sent_152,91
12080_sent_257_259,43
3904_sent_57,13
10518_sent_80_82,44
10015_sent_110_112,27
11826_sent_44,32
6187_sent_207_209,65
11820_sent_597_599,60
11755_sent_99_101,39
11148_sent_412_414,44
10067_sent_54_56,57
13088_sent_59_61,32
10015_sent_150_152,73
11150_sent_77,53
10041_sent_177_179,27
11337_sent_96_98,86
11591_sent_349_351,35
11593_sent_92,26
11689_sent_218,44
2435_sent_246_248,38
11148_sent_275,23
12080_sent_329,82
2435_sent_300,18
11148_sent_339,51
10286_sent_60_62,49
2435_sent_18_20,24
10511_sent_9_11,105
10067_sent_44_46,19
11593_sent_519,52
11591_sent_60_62,77
11593_sent_21,16
13088_sent_37_39,68
2435_sent_66_68,39
12080_sent_242,33
11826_sent_159_161,14
11212_sent_14_16,21
6187_sent_145,33
11820_sent_735_737,35
12080_sent_383,68
12448_sent_63_65,18
11820_sent_195_197,102
12080_sent_65_67,53
13088_sent_171_173,51
11820_sent_459_461,48
10067_sent_0_2,27
11148_sent_279,9
2435_sent_299_301,30
11820_sent_853_855,41
11591_sent_247_249,58
10454_sent_67_69,68
11591_sent_345_347,10
11148_sent_399_401,44
12448_sent_51_53,19
3904_sent_79_81,23
6187_sent_413,37
12080_sent_408_410,47
10936_sent_4_6,39
11593_sent_13_15,33
11194_sent_0,15
11591_sent_119_121,41
6187_sent_271,22
10067_sent_4_6,39
11326_sent_24_26,35
2801_sent_10_12,120
11591_sent_251_253,39
11591_sent_17_19,39
11591_sent_30_32,90
11593_sent_8_10,51
10518_sent_73_75,67
11820_sent_688_690,53
10518_sent_119_121,40
12080_sent_411_413,47
10768_sent_28_30,38
11148_sent_456,25
11689_sent_45,53
12080_sent_50_52,54
11246_sent_24_26,53
3405_sent_29_31,51
